repository_path,asset_family,surface_role,dimensions,byte_size,sha256,format,colour_mode,alpha_status,asset_role,canonical_source,alias_relationship,production_approved,intended_use,source_type,editable_source,note
Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_512x512.png,profile,light,512x512,178237,569BC65800F66C4D4F35EF8DBFE431B8302C2641DD330581F89612067724C1C4,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 1254 -> 1080 -> 800 -> 512,true,approved profile derivative,deterministic transparent raster derivative,not currently available,Abbreviated AMW 1:1 profile logo PNG
Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_800x800.png,profile,light,800x800,341051,464614786FD1B88FEFC291949E978BC9B5EF84805C6628EF4F60E3E759D411C1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 1254 -> 1080 -> 800,true,approved profile derivative,deterministic transparent raster derivative,not currently available,Abbreviated AMW 1:1 profile logo PNG
Assets/02_Logos/02_Full_Logo/AniManga_Wire_Full_Logo_1600x684.png,legacy brand kit,,1600x684,1697274,0F9A56872BD77AEFC9E25500158EA8F20695ED2505DA68DB23DE8BE6D9F91D57,PNG,RGB,absent,existing asset,,,,Full horizontal logo PNG,existing repository asset,,Full horizontal logo PNG
Assets/02_Logos/02_Full_Logo/AniManga_Wire_Full_Logo_2048x878.jpg,legacy brand kit,,2048x878,558898,764CAE2AC210190660468CC0B470592AEBDD9FD63C03571846381BD28469C8E0,JPEG,RGB,absent,existing asset,,,,Full horizontal logo JPEG,existing repository asset,,Full horizontal logo JPEG
Assets/02_Logos/02_Full_Logo/AniManga_Wire_Full_Logo_2048x878.png,legacy brand kit,,2048x878,2383856,02457E169899CF204E693ED965F5F11CEA8D7A9CF595F96885352A8E4672160D,PNG,RGB,absent,existing asset,,,,Full horizontal logo PNG,existing repository asset,,Full horizontal logo PNG
Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,profile,dark,1254x1254,362171,D4739D6A843A29B5757EBA3105B2E6E7444AF53A1F2D09DDAA3757BAF787567B,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,canonical,true,approved profile master for dark surfaces,validated transparent raster master,not currently available,approved profile master for dark surfaces
Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,canonical,true,approved profile master for light surfaces,validated transparent raster master,not currently available,approved profile master for light surfaces
Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,profile,red,1254x1254,281557,0D3ACF3110BE6F72533C64FFABE212B4454EE500AB39A2D7B68A7ECC3FC789C8,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,canonical,true,approved profile master for red surfaces,validated transparent raster master,not currently available,approved profile master for red surfaces
Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Transparent.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,legacy compatibility alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,true,legacy generic transparent profile path,byte-identical raster alias,not currently available,Abbreviated AMW logo with light background removed
Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,full logo,dark,1916x821,199884,FAF1209983F8257E66467942A0F7ADBD685B6675C56C28CC80FA3583EBBA6BEF,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,canonical,true,approved full logo master for dark surfaces,validated transparent raster master,not currently available,approved full logo master for dark surfaces
Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,canonical,true,approved full logo master for light surfaces,validated transparent raster master,not currently available,approved full logo master for light surfaces
Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,full logo,red,1916x821,153322,BA2B9BFB9E054848ACFD704E40BEF9BF181EBC92CDDED76E53F42130E62EC56D,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,canonical raster master,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,canonical,true,approved full logo master for red surfaces,validated transparent raster master,not currently available,approved full logo master for red surfaces
Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Transparent.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,legacy compatibility alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,legacy generic transparent full-logo path,byte-identical raster alias,not currently available,Full horizontal logo with light background removed
Assets/02_Logos/03_Transparent_PNG/README.md,legacy brand kit,,,1416,ADD02355B27406A58FBA9270557881CEA30609DAC078F64BAC723C9F785F28A3,Markdown,,not applicable,existing asset,,,,,existing repository asset,,
Assets/02_Logos/04_Watermark/README.md,legacy brand kit,,,1063,D7B6306406ED08F76C6D07901C9DC68618B2338E2DEA7276E88C8651BE3711EF,Markdown,,not applicable,existing asset,,,,,existing repository asset,,
Assets/02_Logos/04_Watermark/Watermark_300x300_TRANSPARENT.png,watermark,light,300x300,82243,B36CBB12DB773BB36BC048100E46FA9CE8EF4D4E8B468E226371F91B418AB4B3,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 500 -> 300 directly,true,approved watermark derivative,deterministic transparent raster derivative,not currently available,Watermark 300x300 transparent
Assets/02_Logos/04_Watermark/Watermark_500x500_TRANSPARENT.png,watermark,light,500x500,188214,85B33F286D20733EEB1B943DA205D383755D054BA5E535264437CB727EC24E76,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 1254 -> 1080 -> 800 -> 512 -> 500,true,approved watermark master,deterministic transparent raster derivative,not currently available,Watermark 500x500 transparent
Assets/02_Logos/04_Watermark/YouTube_Watermark_150x150_TRANSPARENT.png,watermark,light,150x150,26309,DAEE0830FECFF55867BDFE3C92047CA2E2CD11E0AB61D2708B2C3ECA2F26A8E9,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,derivative,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,LANCZOS: 500 -> 150 directly; not 300 -> 150,true,approved YouTube watermark derivative,deterministic transparent raster derivative,not currently available,YouTube watermark 150x150 transparent
Assets/03_Modular_Assets/01_Source_Exports/animanga_wire_action_packed_manga_universe.png,legacy brand kit,,1672x941,3189572,39ADC42C585F2A18735733E849E86DC00F9D0F43FEA566DAC92C6D3300A66437,PNG,RGB,absent,existing asset,,,,Original source export used for final_banner,existing repository asset,,Original source export used for final_banner
Assets/03_Modular_Assets/01_Source_Exports/animanga_wire_brand_kit_sheet.png,legacy brand kit,,1448x1086,2977288,C305DCDA6E8A49367CD0E45CE052746837CA7F2B753D8D1523D7470D120B2D59,PNG,RGB,absent,existing asset,,,,Original source export used for brand_sheet,existing repository asset,,Original source export used for brand_sheet
Assets/03_Modular_Assets/01_Source_Exports/anime_manga_news_logo_design.png,legacy brand kit,,1916x821,2395824,0D59663059B161EEC76DCBE30AFC3211BA423293CFA07DCECEF9806CB04D04C1,PNG,RGB,absent,existing asset,,,,Original source export used for full_logo,existing repository asset,,Original source export used for full_logo
Assets/03_Modular_Assets/01_Source_Exports/grunge_anime_inspired_logo_design.png,legacy brand kit,,1254x1254,2875486,9898EF830950625081F00EB252712D2CC178E5CB1E3532453487904C5297AE7B,PNG,RGB,absent,existing asset,,,,Original source export used for abbr_logo,existing repository asset,,Original source export used for abbr_logo
Assets/03_Modular_Assets/02_Crops/central_branding_region_crop.png,legacy brand kit,,1520x500,1137491,7280C5E5AD64226B5C39D95D4B12288694BE2348426E2F02F0A938A8710C6B0D,PNG,RGB,absent,existing asset,,,,Central branding region crop,existing repository asset,,Central branding region crop
Assets/03_Modular_Assets/02_Crops/left_manga_panel_strip_520x1440.png,legacy brand kit,,520x1440,1324239,E0CFF4BEB9D745658E08F3C912E35FDB6A6B71C2B621EFEF3FC0F8D657871ECB,PNG,RGB,absent,existing asset,,,,Left side manga panel strip crop,existing repository asset,,Left side manga panel strip crop
Assets/03_Modular_Assets/02_Crops/right_manga_panel_strip_520x1440.png,legacy brand kit,,520x1440,1293553,E233756813501BF50AFF71851015B0BDD7414E3F26BE5F0FC9142E088BE8CB82,PNG,RGB,absent,existing asset,,,,Right side manga panel strip crop,existing repository asset,,Right side manga panel strip crop
Assets/03_Modular_Assets/02_Crops/youtube_safe_area_center_crop_1546x423.png,legacy brand kit,,1546x423,978398,A9126BF39F5E045224ADAB77250D1E784BDFF92775A5DD20CDC50FE9A9A82FB8,PNG,RGB,absent,existing asset,,,,Central safe area crop,existing repository asset,,Central safe area crop
Assets/03_Modular_Assets/03_Codex_Ready/banner_base_2560x1440.png,legacy brand kit,,2560x1440,6325796,D9D63CCBD06E3AD7BB9570AFDC1164567DCEA307C2288EE51F9245DCE7562B89,PNG,RGB,absent,existing asset,,,,Codex-ready final flat banner,existing repository asset,,Codex-ready final flat banner
Assets/03_Modular_Assets/03_Codex_Ready/logo_abbreviated_dark_surface.png,profile,dark,1254x1254,362171,D4739D6A843A29B5757EBA3105B2E6E7444AF53A1F2D09DDAA3757BAF787567B,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,true,Codex-ready profile for dark surfaces,byte-identical raster alias,not currently available,Codex-ready profile for dark surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_abbreviated_light_surface.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,true,Codex-ready profile for light surfaces,byte-identical raster alias,not currently available,Codex-ready profile for light surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_abbreviated_red_surface.png,profile,red,1254x1254,281557,0D3ACF3110BE6F72533C64FFABE212B4454EE500AB39A2D7B68A7ECC3FC789C8,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,true,Codex-ready profile for red surfaces,byte-identical raster alias,not currently available,Codex-ready profile for red surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_abbreviated_transparent.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,true,Codex-ready profile for light surfaces,byte-identical raster alias,not currently available,Codex-ready abbreviated transparent logo
Assets/03_Modular_Assets/03_Codex_Ready/logo_full_dark_surface.png,full logo,dark,1916x821,199884,FAF1209983F8257E66467942A0F7ADBD685B6675C56C28CC80FA3583EBBA6BEF,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,true,Codex-ready full logo for dark surfaces,byte-identical raster alias,not currently available,Codex-ready full logo for dark surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_full_light_surface.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,Codex-ready full logo for light surfaces,byte-identical raster alias,not currently available,Codex-ready full logo for light surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_full_red_surface.png,full logo,red,1916x821,153322,BA2B9BFB9E054848ACFD704E40BEF9BF181EBC92CDDED76E53F42130E62EC56D,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,true,Codex-ready full logo for red surfaces,byte-identical raster alias,not currently available,Codex-ready full logo for red surfaces
Assets/03_Modular_Assets/03_Codex_Ready/logo_full_transparent.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,Codex-ready alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,Codex-ready full logo for light surfaces,byte-identical raster alias,not currently available,Codex-ready full transparent logo
Assets/03_Modular_Assets/03_Codex_Ready/youtube_safe_area_crop.png,legacy brand kit,,1546x423,978398,A9126BF39F5E045224ADAB77250D1E784BDFF92775A5DD20CDC50FE9A9A82FB8,PNG,RGB,absent,existing asset,,,,Codex-ready viewable safe area preview,existing repository asset,,Codex-ready viewable safe area preview
Assets/04_Brand_Sheet/AniManga_Wire_Locked_Manga_Brand_Kit_Sheet.jpg,legacy brand kit,,1448x1086,609271,667AF3D0248110A29CCCBCAB984AD47F8A2541B0536D532B587AFAB30084AA43,JPEG,RGB,absent,existing asset,,,,Locked manga brand kit sheet JPEG,existing repository asset,,Locked manga brand kit sheet JPEG
Assets/04_Brand_Sheet/AniManga_Wire_Locked_Manga_Brand_Kit_Sheet.png,legacy brand kit,,1448x1086,2952354,9DF9988D5CDADD4B838C1D4BFD5ECF275D7465FDD586F36AA42AD2EA65442AEA,PNG,RGB,absent,existing asset,,,,Locked manga brand kit sheet,existing repository asset,,Locked manga brand kit sheet
Assets/05_Codex/codex_layout.json,legacy brand kit,,,1569,09891A285127B9E1553FF0E1323658A72E8B3EFDF3F61A2829491BEEF59BAFAF,JSON,,not applicable,existing asset,,,,Codex layout and locked brand rules,existing repository asset,,Codex layout and locked brand rules
Assets/05_Codex/compose_banner_template.py,legacy brand kit,,,498,6264F89B57D13BE40F1BF2023049E5554CC4AB9EFE9167F3DB000CC1634B1955,Python,,not applicable,existing asset,,,,Starter script for Codex/PIL use,existing repository asset,,Starter script for Codex/PIL use
frontend/public/assets/animanga-wire/logo/amw-profile-512.png,profile,light,512x512,178237,569BC65800F66C4D4F35EF8DBFE431B8302C2641DD330581F89612067724C1C4,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_512x512.png,byte-identical to Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_512x512.png,true,frontend profile for light surfaces,byte-identical raster alias,not currently available,frontend profile for light surfaces
frontend/public/assets/animanga-wire/logo/amw-profile-dark-surface.png,profile,dark,1254x1254,362171,D4739D6A843A29B5757EBA3105B2E6E7444AF53A1F2D09DDAA3757BAF787567B,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Dark_Surface_1254x1254.png,true,frontend profile for dark surfaces,byte-identical raster alias,not currently available,frontend profile for dark surfaces
frontend/public/assets/animanga-wire/logo/amw-profile-light-surface.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,true,frontend profile for light surfaces,byte-identical raster alias,not currently available,frontend profile for light surfaces
frontend/public/assets/animanga-wire/logo/amw-profile-red-surface.png,profile,red,1254x1254,281557,0D3ACF3110BE6F72533C64FFABE212B4454EE500AB39A2D7B68A7ECC3FC789C8,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Red_Surface_1254x1254.png,true,frontend profile for red surfaces,byte-identical raster alias,not currently available,frontend profile for red surfaces
frontend/public/assets/animanga-wire/logo/amw-profile-transparent.png,profile,light,1254x1254,362322,10905D667B5391C3D1D02565B308FB569B96326953463C3DC61BEEC6D8E6C8E1,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AMW_Abbreviated_Profile_Light_Surface_1254x1254.png,true,frontend profile for light surfaces,byte-identical raster alias,not currently available,frontend profile for light surfaces
frontend/public/assets/animanga-wire/logo/animanga-wire-full-logo-dark-surface.png,full logo,dark,1916x821,199884,FAF1209983F8257E66467942A0F7ADBD685B6675C56C28CC80FA3583EBBA6BEF,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Dark_Surface_1916x821.png,true,frontend full logo for dark surfaces,byte-identical raster alias,not currently available,frontend full logo for dark surfaces
frontend/public/assets/animanga-wire/logo/animanga-wire-full-logo-light-surface.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,frontend full logo for light surfaces,byte-identical raster alias,not currently available,frontend full logo for light surfaces
frontend/public/assets/animanga-wire/logo/animanga-wire-full-logo-red-surface.png,full logo,red,1916x821,153322,BA2B9BFB9E054848ACFD704E40BEF9BF181EBC92CDDED76E53F42130E62EC56D,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Red_Surface_1916x821.png,true,frontend full logo for red surfaces,byte-identical raster alias,not currently available,frontend full logo for red surfaces
frontend/public/assets/animanga-wire/logo/animanga-wire-full-logo-transparent.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,frontend full logo for light surfaces,byte-identical raster alias,not currently available,frontend full logo for light surfaces
frontend/public/assets/animanga-wire/logo/animanga-wire-full-logo.png,full logo,light,1916x821,198236,463F2A857556EDAB7406E00D97839AF76CB15073B516BC77FD50ECD14B247BFD,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,byte-identical to Assets/02_Logos/03_Transparent_PNG/AniManga_Wire_Full_Logo_Light_Surface_1916x821.png,true,frontend full logo for light surfaces,byte-identical raster alias,not currently available,frontend full logo for light surfaces
frontend/public/assets/animanga-wire/social/amw-profile-1080.png,profile,light,1080x1080,492685,C522F8C58AC8085C1CB850E094ABF2E9DFB4C87777F87C239FDD05728874086B,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend social alias,Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_1080x1080.png,byte-identical to Assets/02_Logos/01_Abbreviated_Profile/AMW_Abbreviated_Profile_1080x1080.png,true,frontend social profile image,byte-identical raster alias,not currently available,frontend social profile image
frontend/public/assets/animanga-wire/watermark/watermark-300.png,watermark,light,300x300,82243,B36CBB12DB773BB36BC048100E46FA9CE8EF4D4E8B468E226371F91B418AB4B3,PNG,RGBA,present; alpha-zero RGB normalized; outer border clear,frontend alias,Assets/02_Logos/04_Watermark/Watermark_300x300_TRANSPARENT.png,byte-identical to Assets/02_Logos/04_Watermark/Watermark_300x300_TRANSPARENT.png,true,frontend watermark compatibility path,byte-identical raster alias,not currently available,frontend watermark compatibility path
